Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656518f44836778c5c22c4e2,5fa472cf29a8e70f22c5d521,APPROVED,2023-11-27T22:33:07.184000Z,2023-11-27T22:42:38.553000Z,2023-11-28T08:52:02.075000Z,2023-11-27T22:42:38.995606Z,572.0,CBCT4R5Q,397,"Afrikaans, English",African,24,Female,Black,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
65651908622e86e14ebe5508,5e03e9c353b56eeb455bb7d2,APPROVED,2023-11-27T22:32:40.442000Z,2023-11-27T22:42:40.081000Z,2023-11-28T08:51:54.086000Z,2023-11-27T22:42:40.834470Z,600.0,CBCT4R5Q,328,"English, Polish",White/Caucasian,25,Female,White,Poland,Poland,Poland,Polish,No,Part-Time
656519226658ccc3609c6f0a,6172078b966225960be2a7b5,APPROVED,2023-11-27T22:33:06.534000Z,2023-11-27T22:43:18.984000Z,2023-11-28T08:52:00.330000Z,2023-11-27T22:43:20.470578Z,613.0,CBCT4R5Q,193,"English, Spanish",Latino/Hispanic,24,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6565192a739efdc811fa69d7,612a3db8337d599dd9b183d6,APPROVED,2023-11-27T22:33:19.283000Z,2023-11-27T22:58:53.143000Z,2023-11-28T08:52:03.837000Z,2023-11-27T22:58:53.613947Z,1534.0,CBCT4R5Q,421,"English, Afrikaans",African,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6565192f2e22b60c417ef69e,6107adafd5418d7986db1f3e,APPROVED,2023-11-27T22:33:19.809000Z,2023-11-27T22:39:39.424000Z,2023-11-28T08:52:05.591000Z,2023-11-27T22:39:40.149491Z,380.0,CBCT4R5Q,248,"English, Portuguese, Spanish",White/Caucasian,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6565194b90246c10fe90ce48,616f94cd9cd003d37c9db38c,APPROVED,2023-11-27T22:33:46.967000Z,2023-11-27T22:40:37.522000Z,2023-11-28T08:52:07.188000Z,2023-11-27T22:40:37.940490Z,411.0,CBCT4R5Q,278,"Spanish, English",Latino/Hispanic,24,Female,Other,Chile,Chile,Chile,Spanish,Yes,Part-Time
656519548f2c2c33c9260f93,5edc3d681a69d49159555f91,APPROVED,2023-11-27T22:33:56.836000Z,2023-11-27T22:48:53.446000Z,2023-11-28T08:52:09.872000Z,2023-11-27T22:48:54.199419Z,897.0,CBCT4R5Q,587,"Catalan, English, Spanish",White/Caucasian,24,Female,White,Spain,Spain,Spain,Spanish,No,Part-Time
655b4232631895cb9d4d0ebb,5defa5382c54d4635f06f22b,APPROVED,2023-11-20T11:25:44.016000Z,2023-11-20T11:32:32.084000Z,2023-11-20T12:20:34.734000Z,2023-11-20T11:32:32.577287Z,409.0,CBCT4R5Q,924,English,White/Caucasian,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b4277aecf43f400fa1273,6368f63b50877e152c6c2d06,APPROVED,2023-11-20T11:26:54.328000Z,2023-11-20T11:34:33.082000Z,2023-11-20T12:20:37.884000Z,2023-11-20T11:34:33.806084Z,459.0,CBCT4R5Q,609,English,White/Caucasian,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
655b42edf2fc488e37f921e6,5c18f74e9caf5e00011a3db5,APPROVED,2023-11-20T11:28:50.875000Z,2023-11-20T11:37:24.674000Z,2023-11-20T12:20:40.757000Z,2023-11-20T11:37:25.370265Z,514.0,CBCT4R5Q,812,English,White/Caucasian,80,Male,White,United Kingdom,France,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b44cfab0c42bea4740306,5b3d6a9ec2aa1000017781a0,APPROVED,2023-11-20T11:37:02.961000Z,2023-11-20T11:54:10.965000Z,2023-11-20T12:20:45.259000Z,2023-11-20T11:54:11.416217Z,1029.0,CBCT4R5Q,1281,"Spanish, English",White/Caucasian,68,Male,White,United Kingdom,Chile,United Kingdom,English,No,Full-Time
655b4552493d3614c5a68050,6163f468f64021af99daf9b5,APPROVED,2023-11-20T11:39:04.092000Z,2023-11-20T11:48:51.646000Z,2023-11-20T12:20:49.138000Z,2023-11-20T11:48:52.098879Z,588.0,CBCT4R5Q,562,English,White/Caucasian,70,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b45d2d9f67c2ee9c24e59,56eeb66a524cc0000a5fa4a2,APPROVED,2023-11-20T11:41:19.279000Z,2023-11-20T11:47:45.832000Z,2023-11-20T12:20:52.987000Z,2023-11-20T11:47:46.336187Z,387.0,CBCT4R5Q,1971,English,White/Caucasian,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b46671543dd12aa837818,630d1aea50e36df79c80f34f,APPROVED,2023-11-20T11:43:41.449000Z,2023-11-20T11:51:09.736000Z,2023-11-20T12:21:01.571000Z,2023-11-20T11:51:10.211490Z,449.0,CBCT4R5Q,661,English,White/Caucasian,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
655b4682a8745660527111b6,5ea178d1c3a2440181b09d8c,APPROVED,2023-11-20T11:44:10.570000Z,2023-11-20T11:51:44.577000Z,2023-11-20T12:20:58.856000Z,2023-11-20T11:51:45.094833Z,455.0,CBCT4R5Q,687,English,White/Caucasian,71,Male,White,United Kingdom,Spain,United Kingdom,English,No,Full-Time
655b46b3af38f6b16bbc1871,642c006ab77c5c86b854e95a,APPROVED,2023-11-20T11:44:57.081000Z,2023-11-20T11:52:23.594000Z,2023-11-20T12:21:03.601000Z,2023-11-20T11:52:24.061654Z,447.0,CBCT4R5Q,428,English,White/Caucasian,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b46cd22f33e4f9d1264ef,60dc963e81e24696fb377f61,APPROVED,2023-11-20T11:45:21.919000Z,2023-11-20T11:55:22.327000Z,2023-11-20T12:21:05.410000Z,2023-11-20T11:55:23.097431Z,601.0,CBCT4R5Q,1020,English,White/Caucasian,72,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b41748d0b43691b478823,62bed5538250521bc5a01970,APPROVED,2023-11-20T11:22:33.354000Z,2023-11-20T11:27:16.796000Z,2023-11-20T12:20:32.757000Z,2023-11-20T11:27:17.214312Z,284.0,CBCT4R5Q,327,English,White/Caucasian,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
655b42595e2ec8924a33920a,60041b89f0b70121fb013c80,APPROVED,2023-11-20T11:26:27.937000Z,2023-11-20T11:38:59.510000Z,2023-11-20T12:20:36.317000Z,2023-11-20T11:38:59.949704Z,752.0,CBCT4R5Q,881,English,White/Caucasian,74,Female,White,United States,Israel,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b42975b2ca3f101b537ed,616fb6ddc63e70bec3035bf3,APPROVED,2023-11-20T11:27:29.326000Z,2023-11-20T11:49:16.974000Z,2023-11-20T12:20:39.318000Z,2023-11-20T11:49:17.635288Z,1308.0,CBCT4R5Q,196,"Afrikaans, English",White/Caucasian,70,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,Part-Time
655b43f76264a5f46bd22fdf,5ea00067d330db1ac58c6163,APPROVED,2023-11-20T11:33:14.837000Z,2023-11-20T11:37:52.240000Z,2023-11-20T12:20:42.198000Z,2023-11-20T11:37:52.669233Z,278.0,CBCT4R5Q,1210,English,White/Caucasian,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
655b44479d25937a796d1821,5a04ccfef2e3460001edadef,APPROVED,2023-11-20T11:34:48.323000Z,2023-11-20T11:43:05.266000Z,2023-11-20T12:20:43.480000Z,2023-11-20T11:43:05.738498Z,497.0,CBCT4R5Q,1968,English,White/Caucasian,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b44e21543dd12aa8377ca,5eeb621a7c83c62d2473afb1,APPROVED,2023-11-20T11:37:14.306000Z,2023-11-20T11:45:58.588000Z,2023-11-20T12:20:46.809000Z,2023-11-20T11:45:59.152017Z,525.0,CBCT4R5Q,962,English,White/Caucasian,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b455836c31429c8272f86,6485fdd710b39198f65e63f4,APPROVED,2023-11-20T11:39:09.702000Z,2023-11-20T11:47:32.994000Z,2023-11-20T12:20:51.176000Z,2023-11-20T11:47:33.503302Z,504.0,CBCT4R5Q,231,English,White/Caucasian,70,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
655b4653cd6b54f6ee957399,63ee9abfa262bea95766dd9c,APPROVED,2023-11-20T11:43:20.946000Z,2023-11-20T11:50:06.842000Z,2023-11-20T12:20:57.613000Z,2023-11-20T11:50:07.272554Z,406.0,CBCT4R5Q,480,"English, Hindi, Punjabi",South Asian,71,Female,Asian,India,United Kingdom,United Kingdom,English,No,Part-Time
655b4654134b59160b32b4da,6124d3c85b6ea8a350177dcc,APPROVED,2023-11-20T11:43:19.963000Z,2023-11-20T11:52:02.528000Z,2023-11-20T12:20:54.533000Z,2023-11-20T11:52:02.955463Z,523.0,CBCT4R5Q,1015,English,White/Caucasian,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b465570bae41da444887b,638605844223827d9e8710a5,APPROVED,2023-11-20T11:43:20.825000Z,2023-11-20T11:53:26.476000Z,2023-11-20T12:20:55.938000Z,2023-11-20T11:53:27.027528Z,606.0,CBCT4R5Q,206,English,White/Caucasian,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6565ab51e5ee9c2d61a90b94,611e1dc7d3edcbcadda82512,APPROVED,2023-11-28T08:56:49.566000Z,2023-11-28T09:06:06.153000Z,2023-11-28T10:54:39.581000Z,2023-11-28T09:06:06.614793Z,557.0,CBCT4R5Q,206,English,African,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6565ba2e230adc3589528b4b,611d32745d36a6ef5fbb0798,APPROVED,2023-11-28T10:00:29.425000Z,2023-11-28T10:06:57.433000Z,2023-11-28T10:54:41.331000Z,2023-11-28T10:06:59.008600Z,389.0,CBCT4R5Q,224,"English, Other",African,24,Female,Black,South Africa,South Africa,South Africa,DATA_EXPIRED,Yes,Unemployed (and job seeking)
6565c8f04b49318f2f18e93e,60d1be6ac5e92d2ab630e89f,APPROVED,2023-11-28T11:03:17.506000Z,2023-11-28T11:12:09.603000Z,2023-11-28T11:24:58.898000Z,2023-11-28T11:12:10.367528Z,533.0,CBCT4R5Q,346,"Portuguese, English, Spanish",White/Caucasian,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6565d34035523cdbed94a079,5a7972542a842c0001fc469a,APPROVED,2023-11-28T11:47:17.532000Z,2023-11-28T11:59:58.300000Z,2023-11-28T12:11:17.171000Z,2023-11-28T11:59:59.123693Z,761.0,CBCT4R5Q,200,English,White/Caucasian,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
655b54c0aecf43f400fa1586,64662c5c9a1bf13ae68abe9a,APPROVED,2023-11-20T12:44:53.080000Z,2023-11-20T12:52:03.405000Z,2023-11-20T12:53:15.799000Z,2023-11-20T12:52:03.983772Z,431.0,CBCT4R5Q,277,English,White/Caucasian,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
655b2d5caeb6700894228490,60ede6577c93b8e4d7f6bbdf,APPROVED,2023-11-20T09:56:44.384000Z,2023-11-20T10:03:34.349000Z,2023-11-20T11:06:59.844000Z,2023-11-20T10:03:34.838611Z,410.0,CBCT4R5Q,332,"English, Portuguese",White/Caucasian,21,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
655b2d6a8090f46bf48e2607,60ffaa7143b46c35f390a4bb,APPROVED,2023-11-20T09:57:01.991000Z,2023-11-20T10:02:56.184000Z,2023-11-20T11:07:03.501000Z,2023-11-20T10:02:56.647362Z,355.0,CBCT4R5Q,135,English,White/Caucasian,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
655b2d8c4159651e9f13eb42,6078a191d9b09011311e7618,APPROVED,2023-11-20T09:57:32.626000Z,2023-11-20T10:17:19.259000Z,2023-11-20T11:07:05.848000Z,2023-11-20T10:17:19.770311Z,1187.0,CBCT4R5Q,177,English,Mixed,22,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Other
